전철역명,호선,외부코드,x좌표(1px),y좌표(1px)
4.19민주묘지,우이신설경전철,943,1520,351
가능,01호선,109,2040,165
가락시장,03호선,350,1990,1807
가락시장,08호선,817,1982,1815
가산디지털단지,07호선,746,824,1700
가산디지털단지,01-1호선,P142,824,1711
가양,09호선,907,607,1047
가오리,우이신설경전철,944,1520,382
가재울,인천2호선,I216,181,1638
가정,인천2호선,I211,181,1282
가정중앙시장,인천2호선,I212,181,1352
가좌,경의선,K105,791,1034
가좌,경의선-1호선,K105-0,791,1034
가천대,수인분당선,K223,2055,1945
가평,경춘선,P134,2484,448
간석,01호선,155,275,1722
간석오거리,인천1호선,I123,384,1744
갈매,경춘선,P123,2187,622
갈산,인천1호선,I117,288,1370
강남,02호선,222,1561,1804
강남,신분당선,D7,1562,1816
강남구청,07호선,730,1660,1412
강남구청,수인분당선,K213,1659,1423
강남대,용인경전철,Y111,1804,2337
강동,05호선,548,2047,1356
강동,05-2호선,5488,2047,1356
강동,05-1호선,548-1,2047,1356
강동구청,08호선,812,1965,1327
강매,경의선,K101,572,714
강변,02호선,214,1848,1323
강일,05호선,554,2253,1149
강촌,경춘선,P137,2484,351
개롱,05-1호선,548-6,2111,1720
개봉,01호선,143,759,1632
개포동,수인분당선,K219,1753,1961
개화,09호선,901,364,948
개화산,05호선,511,424,859
거여,05-1호선,548-7,2153,1720
건대입구,02호선,212,1839,1232
건대입구,07호선,727,1846,1225
건대입구,02-3호선,2122,1839,1232
걸포북변,김포도시철도,695,279,783
검단사거리,인천2호선,I203,181,865
검단오류,인천2호선,I201,181,793
검바위,인천2호선,I208,181,1081
검암,공항철도,A08,181,1011
검암,인천2호선,I207,181,1022
경기광주,경강선,K413,2217,2088
경기도청북부청사,의정부경전철,U120,2204,193
경마공원,04호선,436,1297,1996
경복궁,03호선,327,1205,643
경인교대입구,인천1호선,I115,288,1272
경전철의정부,의정부경전철,U113,1921,211
경찰병원,03호선,351,2031,1765
계산,인천1호선,I114,288,1224
계양,공항철도,A07,288,1011
계양,인천1호선,I110,288,1022
고덕,05호선,552,2190,1213
고려대,06호선,641,1623,633
고색,수인분당선,K246,1199,2286
고속터미널,03호선,339,1483,1585
고속터미널,07호선,734,1470,1585
고속터미널,09호선,923,1457,1585
고잔,04호선,451,844,2275
고잔,수인분당선,K253,844,2286
고진,용인경전철,Y121,2249,2393
고촌,김포도시철도,698,368,872
곡산,경의선,K97,572,465
곡산,서해선,S10,561,465
곤제,의정부경전철,U122,2275,206
곤지암,경강선,K415,2314,2166
공덕,05호선,529,1036,1248
공덕,06호선,627,1036,1274
공덕,공항철도,A02,1036,1262
공덕,경의선,K108,1036,1235
공릉,07호선,716,1976,518
공항시장,09호선,903,468,948
공항화물청사,공항철도,A12,104,2039
과천,04호선,438,1265,2059
관악,01-1호선,P146,885,1936
관악산,신림선,S411,1146,1925
광교,신분당선,D19,1505,2220
광교중앙,신분당선,D18,1590,2220
광나루,05호선,546,2047,1105
광명,01-2호선,P144-2,771,1823
광명사거리,07호선,748,732,1692
광운대,01호선,119,1808,509
광운대,경춘선-1호선,P120-2,1808,520
광화문,05호선,533,1036,776
광흥창,06호선,625,923,1274
교대,02호선,223,1483,1837
교대,03호선,340,1483,1847
구래,김포도시철도,691,158,663
구로,01호선,141,824,1632
구로,01-1호선,P141,824,1632
구로디지털단지,02호선,232,983,1735
구룡,수인분당선,K218,1678,1961
구리,08호선,807,2183,704
구리,경의선,K123,2194,704
구반포,09호선,921,1370,1494
구산,06호선,615,967,540
구성,수인분당선,K235,1855,2286
구성,GTX-A-1,X110,1867,2286
구의,02호선,213,1846,1275
구일,01호선,142,795,1632
구파발,03호선,320,867,513
국수,경의선,K132,2485,776
국제업무지구,인천1호선,I138,373,2353
국회의사당,09호선,914,955,1448
군자,05호선,544,1986,963
군자,07호선,725,1976,963
군포,01-1호선,P150,1066,2120
굴봉산,경춘선,P135,2484,415
굴포천,07호선,758,327,1447
굽은다리,05호선,550,2124,1279
귤현,인천1호선,I111,288,1068
금곡,경춘선,P127,2371,622
금릉,경의선,K90,411,280
금정,04호선,443,1018,2059
금정,01-1호선,P149,1007,2057
금천구청,01-1호선,P144,824,1823
금천구청,01-2호선,P144-1,824,1823
금천구청,01-5호선,P1444,824,1823
금촌,경의선,K89,365,280
금호,03호선,334,1483,1211
기흥,수인분당선,K237,1765,2286
기흥,용인경전철,Y110,1765,2298
길동,05호선,549,2089,1313
길동,05-2호선,5499,2089,1313
길음,04호선,417,1578,564
김량장,용인경전철,Y119,2157,2393
김유정,경춘선,P138,2484,318
김포공항,05호선,512,424,948
김포공항,김포도시철도,699,424,907
김포공항,09호선,902,424,948
김포공항,공항철도,A06,424,959
김포공항,서해선,S13,424,920
까치산,05호선,518,629,1308
까치산,02-2호선,234-5,629,1320
까치울,07호선,751,629,1591
낙성대,02호선,227,1236,1853
남구로,07호선,745,879,1700
남동구청,인천2호선,I225,491,1922
남동인더스파크,수인분당선,K264,464,2106
남부터미널,03호선,341,1512,1910
남성,07호선,737,1261,1700
남영,01호선,134,1266,1203
남위례,08호선,821,2091,1924
남춘천,경춘선,P139,2484,286
남태령,04호선,434,1297,1928
남한산성입구,08호선,823,2142,1973
내방,07호선,735,1407,1664
노들,09호선,918,1230,1448
노량진,01호선,136,1199,1460
노량진,09호선,917,1199,1448
노원,04호선,411,1977,408
노원,07호선,713,1976,397
녹번,03호선,323,1090,527
녹사평,06호선,630,1342,1257
녹양,01호선,108,2060,146
녹천,01호선,117,1808,446
논현,07호선,732,1554,1516
논현,신분당선,D5,1562,1522
능곡,경의선,K99,572,580
능곡,서해선,S12,561,580
다산,08호선,805,2226,663
단대오거리,08호선,824,2167,2000
달미,서해선,S24,761,2147
달월,수인분당선,K259,464,2256
답십리,05호선,542,1887,963
당곡,신림선,S407,1058,1767
당산,02호선,237,798,1334
당산,09호선,913,791,1326
당정,01-1호선,P151,1099,2151
대곡,03호선,314,533,513
대곡,경의선,K98,572,513
대곡,서해선,S11,561,513
대곡,GTX-A,X103,546,513
대공원,04호선,437,1297,2033
대림,02호선,233,945,1699
대림,07호선,744,934,1700
대모산입구,수인분당선,K220,1824,1961
대방,01호선,137,1115,1522
대방,신림선,S402,1115,1533
대성리,경춘선,P131,2484,546
대야미,04호선,446,984,2169
대청,03호선,347,1810,1910
대치,03호선,345,1714,1910
대화,03호선,309,332,456
대흥,06호선,626,982,1274
덕계,01호선,106,2101,104
덕소,경의선,K126,2316,704
덕정,01호선,105,2121,84
도곡,03호선,344,1660,1910
도곡,수인분당선,K217,1659,1899
도농,경의선,K124,2231,704
도림천,02-2호선,234-2,783,1545
도봉,01호선,114,1859,346
도봉산,01호선,113,1885,320
도봉산,07호선,710,1892,313
도심,경의선,K127,2359,704
도원,01호선,159,275,1899
도화,01호선,157,275,1836
독립문,03호선,326,1172,610
독바위,06호선,613,989,471
독산,01-1호선,P143,824,1776
독정,인천2호선,I206,181,971
돌곶이,06호선,644,1773,575
동구릉,08호선,806,2208,680
동대문,01호선,128,1417,736
동대문,04호선,421,1417,726
동대문역사문화공원,02호선,205,1417,820
동대문역사문화공원,04호선,422,1417,806
동대문역사문화공원,05호선,536,1417,834
동대입구,03호선,332,1417,1046
동두천,01호선,101,2285,63
동두천중앙,01호선,103,2202,63
동막,인천1호선,I132,384,2166
동묘앞,01호선,127,1537,736
동묘앞,06호선,637,1537,726
동백,용인경전철,Y114,1927,2393
동수,인천1호선,I121,363,1684
동암,01호선,154,275,1691
동오,의정부경전철,U118,2115,193
동인천,01호선,160,275,1931
동작,04호선,431,1297,1459
동작,09호선,920,1297,1448
동천,신분당선,D14,1915,2220
동춘,인천1호선,I131,384,2135
동탄,GTX-A-1,X111,1450,2373
두정,01-1호선,P168,731,2462
둔전,용인경전철,Y125,2341,2393
둔촌동,05-1호선,548-2,2047,1478
둔촌오륜,09호선,937,2103,1525
등촌,09호선,909,624,1159
디지털미디어시티,06호선,619,704,963
디지털미디어시티,공항철도,A04,704,976
디지털미디어시티,경의선,K104,704,949
뚝섬,02호선,210,1785,1085
마곡,05호선,514,443,1123
마곡나루,09호선,905,561,948
마곡나루,공항철도,A05,561,959
마두,03호선,312,455,513
마들,07호선,712,1945,366
마산,김포도시철도,692,188,693
마석,경춘선,P130,2484,578
마장,05호선,541,1826,963
마전,인천2호선,I204,181,901
마천,05-1호선,548-8,2191,1720
마포,05호선,528,1036,1352
마포구청,06호선,621,721,1109
만수,인천2호선,I224,491,1885
망우,경의선,K121,2071,704
망우,경춘선,P121,2071,691
망우,경춘선-2호선,P1211,2071,691
망원,06호선,622,760,1149
망월사,01호선,112,1925,281
망포,수인분당선,K241,1516,2286
매교,수인분당선,K244,1330,2286
매봉,03호선,343,1614,1910
매탄권선,수인분당선,K242,1453,2286
먹골,07호선,718,1976,617
면목,07호선,721,1976,793
명동,04호선,424,1297,995
명일,05호선,551,2157,1247
명지대,용인경전철,Y118,2112,2393
명학,01-1호선,P148,961,2014
모란,08호선,827,2069,2022
모란,수인분당선,K225,2055,2022
모래내시장,인천2호선,I223,491,1848
목동,05호선,520,692,1372
몽촌토성,08호선,813,1900,1389
무악재,03호선,325,1143,582
문래,02호선,235,848,1557
문래,02-4호선,2355,848,1557
문산,경의선,K86,229,280
문정,08호선,818,2008,1841
문학경기장,인천1호선,I127,384,1973
미금,신분당선,D13,1974,2206
미금,수인분당선,K231,1984,2206
미사,05호선,555,2287,1116
미아,04호선,415,1660,482
미아사거리,04호선,416,1617,525
박촌,인천1호선,I112,288,1118
반월,04호선,447,984,2207
반포,07호선,733,1523,1547
발곡,의정부경전철,U110,1978,269
발산,05호선,515,483,1163
방배,02호선,225,1385,1858
방이,05-1호선,548-4,2047,1654
방학,01호선,115,1834,372
방화,05호선,510,424,824
배방,01-1호선,P174,410,2462
백마,경의선,K96,572,418
백마,서해선,S09,561,418
백석,03호선,313,502,513
백양리,경춘선,P136,2484,383
백운,01호선,153,275,1659
버티고개,06호선,633,1423,1175
범계,04호선,442,1072,2059
범골,의정부경전철,U112,1939,230
별내,08호선,804,2230,635
별내,경춘선,P124,2230,622
별내별가람,04호선,408,2148,408
병점,01-1호선,P157,1177,2357
병점,01-3호선,P157-1,1177,2357
병점,01-4호선,P1577,1177,2357
보라매,07호선,742,1048,1700
보라매,신림선,S404,1058,1700
보라매공원,신림선,S405,1058,1720
보라매병원,신림선,S406,1058,1743
보문,06호선,639,1577,679
보문,우이신설경전철,952,1569,671
보산,01호선,102,2244,63
보정,수인분당선,K234,1914,2286
보평,용인경전철,Y123,2295,2393
복정,08호선,820,2057,1890
복정,수인분당선,K222,2055,1901
봉명,01-1호선,P170,624,2462
봉은사,09호선,929,1746,1585
봉천,02호선,229,1111,1817
봉화산,06호선,648,2098,611
부개,01호선,151,364,1632
부발,경강선,K418,2438,2290
부천,01호선,148,536,1632
부천시청,07호선,755,466,1447
부천종합운동장,07호선,752,599,1558
부천종합운동장,서해선,S15,599,1547
부평,01호선,152,313,1632
부평,인천1호선,I120,321,1643
부평구청,07호선,759,288,1447
부평구청,인천1호선,I118,288,1459
부평삼거리,인천1호선,I122,384,1711
부평시장,인천1호선,I119,288,1522
북한산보국문,우이신설경전철,949,1520,539
북한산우이,우이신설경전철,941,1520,289
불광,03호선,322,1044,513
불광,06호선,612,1033,513
불암산,04호선,409,2078,408
사가정,07호선,722,1976,835
사당,02호선,226,1297,1861
사당,04호선,433,1297,1871
사릉,경춘선,P126,2327,622
사리,수인분당선,K250,1017,2286
사우,김포도시철도,696,308,812
사평,09호선,924,1523,1585
산곡,07호선,760,233,1447
산본,04호선,444,984,2093
산성,08호선,822,2116,1949
삼가,용인경전철,Y116,2020,2393
삼각지,04호선,428,1297,1262
삼각지,06호선,629,1297,1273
삼동,경강선,K412,2150,2088
삼산체육관,07호선,757,372,1447
삼성,02호선,219,1730,1669
삼성중앙,09호선,928,1704,1585
삼송,03호선,318,777,513
삼양,우이신설경전철,946,1520,446
삼양사거리,우이신설경전철,947,1520,476
삼전,09호선,931,1841,1585
상갈,수인분당선,K238,1705,2286
상계,04호선,410,2032,408
상도,07호선,739,1186,1700
상동,07호선,756,417,1447
상록수,04호선,448,984,2245
상봉,07호선,720,1976,717
상봉,경의선,K120,1977,704
상봉,경춘선,P120,1977,691
상봉,경춘선-2호선,P1200,1977,691
상봉,경춘선-1호선,P120-1,1977,691
상수,06호선,624,859,1246
상왕십리,02호선,207,1613,898
상월곡,06호선,643,1716,575
상일동,05호선,553,2222,1181
상천,경춘선,P133,2484,481
상현,신분당선,D17,1671,2220
새말,의정부경전철,U119,2159,193
새절,06호선,617,850,703
샛강,09호선,916,1115,1448
샛강,신림선,S401,1115,1460
서강대,경의선,K107,939,1183
서구청,인천2호선,I210,181,1214
서대문,05호선,532,1036,836
서동탄,01-3호선,P157-2,1255,2357
서부여성회관,인천2호선,I214,181,1521
서빙고,경의선,K112,1396,1328
서울역,GTX-A,X106,1257,1083
서울대벤처타운,신림선,S410,1077,1925
서울대입구,02호선,228,1164,1836
서울숲,수인분당선,K211,1659,1232
서울역,01호선,133,1284,1083
서울역,04호선,426,1297,1083
서울역,공항철도,A01,1270,1083
서울역,경의선-1호선,K105-2,1244,1083
서울지방병무청,신림선,S403,1110,1588
서원,신림선,S409,1058,1890
서정리,01-1호선,P163,997,2462
서초,02호선,224,1435,1849
서현,수인분당선,K228,2031,2111
석계,01호선,120,1808,564
석계,06호선,645,1809,575
석남,07호선,761,181,1447
석남,인천2호선,I213,181,1458
석바위시장,인천2호선,I220,359,1784
석수,01-1호선,P145,846,1898
석수,01-5호선,P1455,846,1898
석천사거리,인천2호선,I222,491,1810
석촌,08호선,815,1933,1575
석촌,09호선,933,1933,1585
석촌고분,09호선,932,1886,1585
선릉,02호선,220,1660,1739
선릉,수인분당선,K215,1659,1751
선바위,04호선,435,1297,1963
선부,서해선,S25,774,2191
선유도,09호선,912,752,1288
선정릉,09호선,927,1660,1585
선정릉,수인분당선,K214,1659,1596
선학,인천1호선,I128,384,2013
성균관대,01-1호선,P153,1165,2216
성남,경강선,K410,2021,2088
성남,GTX-A-1,X109,2009,2088
성복,신분당선,D16,1748,2220
성수,02호선,211,1812,1144
성수,02-3호선,2111,1812,1144
성수,02-1호선,211-1,1812,1144
성신여대입구,04호선,418,1514,628
성신여대입구,우이신설경전철,951,1520,621
성환,01-1호선,P166,838,2462
세류,01-1호선,P156,1209,2324
세마,01-1호선,P158,1152,2382
세마,01-4호선,P1588,1152,2382
세종대왕릉,경강선,K419,2476,2328
센트럴파크,인천1호선,I137,384,2319
소래포구,수인분당선,K261,464,2196
소사,01호선,147,599,1632
소사,서해선,S16,599,1644
소새울,서해선,S17,599,1715
소요산,01호선,100,2327,63
솔밭공원,우이신설경전철,942,1520,320
솔샘,우이신설경전철,948,1520,509
송내,01호선,150,423,1632
송도,수인분당선,K267,297,2091
송도달빛축제공원,인천1호선,I139,303,2353
송산,의정부경전철,U124,2318,249
송정,05호선,513,424,1054
송탄,01-1호선,P162,1045,2462
송파,08호선,816,1933,1693
송파나루,09호선,934,1969,1585
수내,수인분당선,K229,2008,2133
수락산,07호선,711,1919,341
수리산,04호선,445,984,2131
수색,경의선,K103,622,863
수서,03호선,349,1890,1910
수서,수인분당선,K221,1902,1910
수서,GTX-A-1,X108,1917,1910
수원,수인분당선,K245,1244,2286
수원,01-1호선,P155,1232,2287
수원시청,수인분당선,K243,1391,2286
수유,04호선,414,1701,443
수지구청,신분당선,D15,1835,2220
수진,08호선,826,2103,2022
숙대입구,04호선,427,1297,1174
숭실대입구,07호선,738,1223,1700
숭의,수인분당선,K270,275,2037
시민공원,인천2호선,I219,313,1784
시우,서해선,S27,774,2355
시청,01호선,132,1099,850
시청,02호선,201,1099,861
시청,02호선,244,1099,861
시청.용인대,용인경전철,Y117,2065,2393
시흥능곡,서해선,S23,721,2106
시흥대야,서해선,S18,599,1879
시흥시청,서해선,S22,682,2067
신갈,수인분당선,K236,1813,2286
신금호,05호선,538,1586,963
신길,01호선,138,1005,1522
신길,05호선,525,1005,1510
신길온천,04호선,454,655,2275
신길온천,수인분당선,K256,655,2286
신내,06호선,649,2123,639
신내,경춘선,P122,2123,649
신논현,09호선,925,1562,1585
신논현,신분당선,D6,1562,1597
신답,02-1호선,211-3,1798,927
신당,02호선,206,1537,855
신당,06호선,636,1537,844
신대방,02호선,231,1023,1766
신대방삼거리,07호선,741,1105,1700
신도림,01호선,140,881,1631
신도림,02호선,234,881,1620
신도림,02-4호선,2344,881,1620
신도림,02-2호선,234-1,881,1620
신둔도예촌,경강선,K416,2354,2207
신림,02호선,230,1058,1789
신림,신림선,S408,1058,1800
신목동,09호선,911,713,1249
신반포,09호선,922,1407,1530
신방화,09호선,904,523,948
신사,03호선,337,1483,1435
신사,신분당선,D4,1483,1447
신설동,01호선,126,1623,736
신설동,우이신설경전철,953,1623,724
신설동,02-1호선,211-5,1623,751
신연수,인천1호선,I129,384,2055
신용산,04호선,429,1297,1302
신원,경의선,K131,2485,745
신이문,01호선,121,1808,611
신정,05호선,519,658,1338
신정네거리,02-2호선,234-4,650,1413
신중동,07호선,754,523,1485
신창,01-1호선,P177,304,2462
신천,서해선,S19,599,1965
신촌,02호선,240,882,1052
신촌,경의선-1호선,K105-1,972,1034
신포,수인분당선,K271,275,2004
신풍,07호선,743,1001,1700
신현,서해선,S20,642,2028
신흥,08호선,825,2145,2022
쌍문,04호선,413,1755,408
쌍용,01-1호선,P171,571,2462
아산,01-1호선,P172,517,2462
아시아드경기장,인천2호선,I209,181,1148
아신,경의선,K133,2485,803
아차산,05호선,545,2047,1035
아현,02호선,242,969,949
안국,03호선,328,1221,679
안산,04호선,453,719,2275
안산,수인분당선,K255,720,2286
안암,06호선,640,1600,656
안양,01-1호선,P147,924,1974
암사,08호선,810,2082,1209
암사역사공원,08호선,809,2112,1179
압구정,03호선,336,1483,1401
압구정로데오,수인분당선,K212,1659,1321
애오개,05호선,530,1036,1106
야당,경의선,K92,501,280
야목,수인분당선,K249,1063,2286
야탑,수인분당선,K226,2055,2055
약수,03호선,333,1483,1126
약수,06호선,634,1483,1115
양수,경의선,K130,2485,716
양원,경의선,K122,2120,704
양재,03호선,342,1562,1910
양재,신분당선,D8,1562,1898
양재시민의숲,신분당선,D9,1596,1977
양정,경의선,K125,2272,704
양주,01호선,107,2080,125
양천구청,02-2호선,234-3,731,1495
양천향교,09호선,906,607,994
양촌,김포도시철도,690,128,633
양평,05호선,522,767,1448
양평,경의선,K135,2485,862
어룡,의정부경전철,U123,2296,227
어린이대공원,07호선,726,1937,1134
어정,용인경전철,Y113,1879,2393
어천,수인분당선,K248,1106,2286
언주,09호선,926,1613,1585
여의나루,05호선,527,1036,1428
여의도,05호선,526,1036,1459
여의도,09호선,915,1036,1448
여주,경강선,K420,2518,2372
역곡,01호선,146,633,1632
역삼,02호선,221,1614,1773
역촌,06호선,611,1014,539
연수,수인분당선,K266,339,2091
연신내,03호선,321,921,513
연신내,06호선,614,948,513
연신내,GTX-A,X105,934,513
연천,01호선,97,2450,63
염창,09호선,910,667,1202
영등포,01호선,139,938,1571
영등포구청,02호선,236,827,1507
영등포구청,05호선,523,820,1500
영등포시장,05호선,524,908,1510
영종,공항철도,A10,104,1855
영통,수인분당선,K240,1578,2286
예술회관,인천1호선,I125,384,1893
오금,03호선,352,2075,1720
오금,05-1호선,548-5,2065,1720
오남,04호선,406,2212,408
오류동,01호선,144,724,1632
오리,수인분당선,K232,1984,2251
오목교,05호선,521,732,1413
오목천,수인분당선,K247,1152,2286
오빈,경의선,K134,2485,833
오산,01-1호선,P160,1105,2429
오산대,01-1호선,P159,1128,2406
오이도,04호선,456,506,2275
오이도,수인분당선,K258,506,2286
옥수,03호선,335,1483,1291
옥수,경의선,K114,1483,1279
온수,01호선,145,672,1632
온수,07호선,750,679,1641
온양온천,01-1호선,P176,357,2462
올림픽공원,09호선,936,2047,1585
올림픽공원,05-1호선,548-3,2047,1575
완정,인천2호선,I205,181,936
왕길,인천2호선,I202,181,829
왕십리,02호선,208,1694,963
왕십리,05호선,540,1722,963
왕십리,경의선,K116,1681,963
왕십리,수인분당선,K210,1707,964
외대앞,01호선,122,1808,649
용답,02-1호선,211-2,1899,1059
용두,02-1호선,211-4,1705,832
용마산,07호선,723,1976,876
용문,경의선,K137,2485,920
용산,01호선,135,1199,1338
용산,경의선,K110,1199,1328
용인중앙시장,용인경전철,Y120,2203,2393
우장산,05호선,516,528,1207
운길산,경의선,K129,2445,704
운서,공항철도,A11,104,1947
운양,김포도시철도,694,248,752
운연,인천2호선,I227,491,1996
운정,경의선,K91,456,280
운정중앙,GTX-A,X101,242,433
운천,경의선,K85,184,280
원당,03호선,316,686,513
원덕,경의선,K136,2485,891
원시,서해선,S28,841,2373
원인재,인천1호선,I130,384,2091
원인재,수인분당선,K265,396,2091
원종,서해선,S14,482,1363
원흥,03호선,317,730,513
월계,01호선,118,1808,484
월곡,06호선,642,1645,610
월곶,수인분당선,K260,464,2227
월드컵경기장,06호선,620,704,1043
월롱,경의선,K88,321,280
을지로3가,02호선,203,1221,821
을지로3가,03호선,330,1221,811
을지로4가,02호선,204,1320,811
을지로4가,05호선,535,1320,800
을지로입구,02호선,202,1157,838
응봉,경의선,K115,1554,1210
응암,06호선,610,986,565
응암,06호선,616,986,565
의왕,01-1호선,P152,1132,2184
의정부,01호선,110,1998,207
의정부시청,의정부경전철,U114,1930,193
의정부중앙,의정부경전철,U117,2072,193
이대,02호선,241,918,1002
이매,수인분당선,K227,2055,2088
이매,경강선,K411,2069,2088
이천,경강선,K417,2395,2247
이촌,04호선,430,1297,1337
이촌,경의선,K111,1297,1328
이태원,06호선,631,1368,1231
인덕원,04호선,440,1165,2059
인천,01호선,161,275,1961
인천,수인분당선,K272,275,1974
인천가좌,인천2호선,I215,181,1580
인천공항1터미널,공항철도,A13,104,2131
인천공항2터미널,공항철도,A14,104,2224
인천논현,수인분당선,K262,464,2168
인천대공원,인천2호선,I226,491,1959
인천대입구,인천1호선,I136,384,2289
인천시청,인천1호선,I124,384,1774
인천시청,인천2호선,I221,384,1784
인천터미널,인천1호선,I126,384,1933
인하대,수인분당선,K269,275,2069
일산,경의선,K94,572,325
일산,서해선,S07,561,325
일원,03호선,348,1858,1910
임진강,경의선,K84,138,280
임학,인천1호선,I113,288,1169
자양,07호선,728,1801,1270
작전,인천1호선,I116,288,1323
잠실,02호선,216,1837,1444
잠실,08호선,814,1848,1444
잠실나루,02호선,215,1845,1400
잠실새내,02호선,217,1819,1511
잠원,03호선,338,1483,1505
장기,김포도시철도,693,218,723
장승배기,07호선,740,1149,1700
장암,07호선,709,2034,313
장자호수공원,08호선,808,2183,1002
장지,08호선,819,2031,1865
장한평,05호선,543,1936,963
전곡,01호선,98,2410,63
전대.에버랜드,용인경전철,Y126,2386,2393
정릉,우이신설경전철,950,1520,573
정발산,03호선,311,406,513
정부과천청사,04호선,439,1218,2059
정왕,04호선,455,580,2275
정왕,수인분당선,K257,580,2286
정자,신분당선,D12,1974,2170
정자,수인분당선,K230,1984,2170
제기동,01호선,125,1699,736
제물포,01호선,158,275,1867
종각,01호선,131,1099,783
종로3가,01호선,130,1221,723
종로3가,03호선,329,1221,723
종로3가,05호선,534,1221,750
종로5가,01호선,129,1319,736
종합운동장,02호선,218,1786,1585
종합운동장,09호선,930,1797,1585
주안,01호선,156,275,1768
주안,인천2호선,I218,282,1776
주안국가산단,인천2호선,I217,207,1701
주엽,03호선,310,364,488
죽전,수인분당선,K233,1960,2286
중계,07호선,714,1976,444
중곡,07호선,724,1976,917
중동,01호선,149,479,1632
중랑,경의선,K119,1906,704
중랑,경춘선,P119,1906,691
중앙,04호선,450,902,2275
중앙,수인분당선,K252,902,2286
중앙보훈병원,09호선,938,2150,1478
중화,07호선,719,1976,646
증미,09호선,908,607,1107
증산,06호선,618,780,773
지석,용인경전철,Y112,1834,2366
지식정보단지,인천1호선,I135,384,2257
지축,03호선,319,822,513
지평,경의선,K138,2485,948
지행,01호선,104,2160,63
직산,01-1호선,P167,784,2462
진위,01-1호선,P161,1081,2453
진접,04호선,405,2273,408
창동,01호선,116,1808,396
창동,04호선,412,1808,409
창신,06호선,638,1551,704
천마산,경춘선,P129,2467,622
천안,01-1호선,P169,677,2462
천왕,07호선,749,703,1666
천호,05호선,547,2047,1243
천호,08호선,811,2039,1252
철산,07호선,747,769,1700
청계산입구,신분당선,D10,1648,2029
청구,05호선,537,1537,963
청구,06호선,635,1537,974
청담,07호선,729,1735,1337
청라국제도시,공항철도,A09,104,1085
청량리,01호선,124,1757,736
청량리,경의선,K117,1776,754
청량리,수인분당선,K209,1785,764
청량리,경춘선,P117,1767,744
청명,수인분당선,K239,1641,2286
청산,01호선,99,2369,63
청평,경춘선,P132,2484,513
초당,용인경전철,Y115,1974,2393
초월,경강선,K414,2273,2125
초지,04호선,452,774,2275
초지,수인분당선,K254,774,2286
초지,서해선,S26,774,2264
총신대입구(이수),04호선,432,1297,1711
총신대입구(이수),07호선,736,1296,1700
춘의,07호선,753,558,1520
춘천,경춘선,P140,2484,252
충무로,03호선,331,1320,951
충무로,04호선,423,1313,944
충정로,02호선,243,1037,896
충정로,05호선,531,1036,885
캠퍼스타운,인천1호선,I133,384,2195
킨텍스,GTX-A,X102,300,490
탄현,경의선,K93,548,280
탑석,의정부경전철,U125,2339,269
탕정,01-1호선,P173,465,2462
태릉입구,06호선,646,1976,575
태릉입구,07호선,717,1976,564
태평,수인분당선,K224,2055,1983
테크노파크,인천1호선,I134,384,2227
퇴계원,경춘선,P125,2282,622
파주,경의선,K87,275,280
판교,신분당선,D11,1974,2088
판교,경강선,K409,1985,2088
팔당,경의선,K128,2401,704
평내호평,경춘선,P128,2416,622
평촌,04호선,441,1119,2059
평택,01-1호선,P165,891,2462
평택지제,01-1호선,P164,943,2462
풍무,김포도시철도,697,338,842
풍산,경의선,K95,572,371
풍산,서해선,S08,561,371
하계,07호선,715,1976,480
하남검단산,05호선,558,2449,1103
하남시청,05호선,557,2395,1103
하남풍산,05호선,556,2344,1103
학동,07호선,731,1610,1460
학여울,03호선,346,1763,1910
한강진,06호선,632,1396,1203
한국항공대,경의선,K102,572,781
한남,경의선,K113,1440,1322
한대앞,04호선,449,963,2275
한대앞,수인분당선,K251,963,2286
한성대입구,04호선,419,1480,664
한성백제,09호선,935,2007,1585
한양대,02호선,209,1758,1041
한티,수인분당선,K216,1659,1814
합정,02호선,238,815,1203
합정,06호선,623,807,1195
행당,05호선,539,1627,963
행신,경의선,K100,572,648
혜화,04호선,420,1450,694
호구포,수인분당선,K263,464,2138
홍대입구,02호선,239,850,1108
홍대입구,공항철도,A03,836,1108
홍대입구,경의선,K106,863,1108
홍제,03호선,324,1114,554
화계,우이신설경전철,945,1520,413
화곡,05호선,517,579,1259
화랑대,06호선,647,2065,575
화서,01-1호선,P154,1198,2250
화정,03호선,315,637,513
회기,01호선,123,1808,687
회기,경의선,K118,1827,704
회기,경춘선,P118,1819,691
회룡,01호선,111,1965,241
회룡,의정부경전철,U111,1957,248
회현,04호선,425,1297,1041
효자,의정부경전철,U121,2247,193
효창공원앞,06호선,628,1141,1274
효창공원앞,경의선,K109,1130,1274
흑석,09호선,919,1267,1448
흥선,의정부경전철,U115,1981,193
